date,city,PM2_5,PM10,O3,NO2,SO2,temperature,AQI
2023-01-01,北京,77.7,119.7,38.5,40.0,5.3,-5.0,109.0
2023-01-01,上海,49.6,71.4,74.6,36.7,16.6,-5.0,89.0
2023-01-01,广州,61.7,96.0,51.6,22.0,6.5,-5.0,95.0
2023-01-01,深圳,,156.9,,30.2,8.3,-5.0,149.0
2023-01-01,杭州,101.4,158.4,76.6,44.2,11.6,-5.0,152.0
2023-01-01,成都,66.4,112.2,49.8,30.8,21.9,-5.0,100.0
2023-01-01,武汉,37.6,67.7,79.6,21.4,7.1,-5.0,77.0
2023-01-01,西安,80.3,132.1,71.2,41.8,5.6,-5.0,125.0
2023-01-01,南京,27.7,51.2,69.4,35.8,11.6,-5.0,61.0
2023-01-01,重庆,66.9,110.8,79.8,38.9,13.4,-5.0,112.0
2023-01-02,北京,36.8,64.0,79.8,42.0,10.1,-5.0,76.0
2023-01-02,上海,77.7,127.6,45.2,40.3,22.4,-5.0,111.0
2023-01-02,广州,57.3,99.0,75.2,41.1,13.6,-5.0,99.0
2023-01-02,深圳,49.1,83.3,54.4,40.9,10.0,-5.0,81.0
2023-01-02,杭州,60.9,104.1,52.9,27.2,14.7,-5.0,94.0
2023-01-02,成都,77.3,128.2,41.2,46.9,14.2,-5.0,109.0
2023-01-02,武汉,57.0,91.6,119.6,47.4,17.9,-5.0,116.0
2023-01-02,西安,31.4,50.5,100.4,42.0,12.4,-5.0,78.0
2023-01-02,南京,35.4,67.1,85.2,21.8,13.1,-5.0,77.0
2023-01-02,重庆,20.9,39.8,67.6,27.2,0.3,-5.0,52.0
2023-01-03,北京,53.6,92.6,74.9,19.7,10.3,-5.0,94.0
2023-01-03,上海,100.3,168.0,68.8,47.3,3.1,-5.0,148.0
2023-01-03,广州,56.8,100.3,81.5,35.2,13.1,-5.0,101.0
2023-01-03,深圳,41.1,75.4,58.6,44.2,9.6,-5.0,73.0
2023-01-03,杭州,45.6,78.2,65.1,42.4,13.8,-5.0,81.0
2023-01-03,成都,45.0,86.5,97.1,31.3,6.7,-5.0,93.0
2023-01-03,武汉,55.7,90.2,50.3,53.9,16.9,-5.0,87.0
2023-01-03,西安,74.0,126.6,46.5,45.4,17.6,-5.0,107.0
2023-01-03,南京,81.7,130.1,59.5,57.1,18.7,-5.0,122.0
2023-01-03,重庆,93.6,143.3,59.5,57.0,11.1,-5.0,136.0
2023-01-04,北京,62.9,115.1,79.8,51.3,12.8,-5.0,107.0
2023-01-04,上海,,72.1,40.1,48.5,17.1,-5.0,66.0
2023-01-04,广州,81.0,125.8,23.0,21.7,18.4,-5.0,106.0
2023-01-04,深圳,39.2,78.2,82.5,27.7,12.6,-5.0,80.0
2023-01-04,杭州,36.2,64.0,53.4,27.7,12.7,-5.0,65.0
2023-01-04,成都,77.4,124.7,94.1,8.8,11.2,-5.0,131.0
2023-01-04,武汉,70.0,118.4,79.5,8.2,13.7,-5.0,116.0
2023-01-04,西安,30.1,61.9,75.4,33.4,8.3,-5.0,66.0
2023-01-04,南京,37.1,63.2,71.1,25.8,6.6,-5.0,73.0
2023-01-04,重庆,41.6,75.0,70.3,21.4,11.0,-5.0,78.0
2023-01-05,北京,91.6,149.6,88.1,24.4,12.8,-4.9,145.0
2023-01-05,上海,58.5,91.7,,44.3,11.0,-4.9,80.0
2023-01-05,广州,39.0,65.8,89.3,33.3,11.2,-4.9,83.0
2023-01-05,深圳,70.6,106.0,34.7,29.9,10.0,-4.9,99.0
2023-01-05,杭州,48.8,85.1,42.4,44.0,13.5,-4.9,76.0
2023-01-05,成都,67.9,114.2,27.8,27.9,1.4,-4.9,93.0
2023-01-05,武汉,39.8,64.5,70.3,42.0,18.6,-4.9,76.0
2023-01-05,西安,75.5,127.7,67.1,28.8,3.8,-4.9,117.0
2023-01-05,南京,80.0,140.0,68.4,24.8,14.7,-4.9,123.0
2023-01-05,重庆,108.1,177.5,49.4,30.5,16.7,-4.9,149.0
2023-01-06,北京,74.0,119.7,82.8,34.9,13.4,-4.9,122.0
2023-01-06,上海,31.4,60.1,85.6,14.8,15.8,-4.9,72.0
